id,joke
0,当你错误地种植过多的种子时，每粒种子都会长大。
1,我们为什么要洗浴巾？我们使用时不清洁吗？如果不是那么洗澡的目的是什么？
2,顾客：你们的意见本在哪儿？我想提意见。 服务员：是表扬还是批评？ 顾客：是写批评意见。 服务员：那好，我们这里代卖信纸，一毛一张。
3,为什么爱尔兰人把空牛奶盒放在冰箱里？
4,某人向朋友倾诉：有两次我下班回家，看见太太和一个男人搂抱，你说我该怎么办？ 我不知道，朋友回答，但你何不试试加班工作？
5,我曾尝试过一次生命，但他们缺货了。
6,要问是一时的耻辱。不要求并且保持无知是一辈子的耻辱。
7,让那只猫从袋子里拿出来比把它放回去要容易得多。
8,那天我一边吃冰淇淋一边骑自‍行车骑着骑着，突然感觉冰淇淋融化了滴了一滴在手上，哥毫不犹豫的舔了一下。 尼玛是鸟屎。
9,如果您正在寻找一些特定的，请使用此搜索引擎。
10,妻子从旅游地给丈夫拍了一份电报：4个星期体重减轻一半，我可以再呆多久？ 丈夫回电：再呆4个星期！
11,活鱼会逆流而上，死鱼则随波逐流。
12,在课堂上，某老师说，小时候，妈妈经常跟我说天使的故事。 一位同学说，老师，你家就那么喜欢屎啊，还把屎说到天上去了。
13,曾几何时，有一只不合格的麻雀决定不向南飞去过冬。
14,如果某些东西是保密的，它将被留在复印机中。
15,在生命的牧场上，不要成为一个喜鹊。
16,甲：张老师是最严厉的，你运气真好，不在她班上。 乙：可她是我妈妈。
17,朋友们聚会，席间有人发表感慨：唉，现在有些男人说话娘娘腔，活象个太监。 话音刚落，又响起一个细细的声音为何都看着我！！
18,你可能有一颗金子般的心脏，但煮熟的鸡蛋也是如此。
19,甲：“坐在前排那个丑八怪是谁呀？” 乙：“那是我哥哥呀。” 甲：“啊，真对不起，我没注意到你们是那么相像。”
20,在混乱之中，一个声音说：微笑并且快乐，因为它总是会变得更糟。我笑了，我很高兴，而且确实变得更糟。
21,寒假作业是什么概念：我们写一个月，老师写一个阅。
22,一位护士小姐走进病房里，好容易才弄醒了一个已经酣然入睡的患者。 你要干什么？病人很不高兴。 你必须按时服药。护士小姐说完，同时递上两粒安眠药。
23,在排练中，管乐队的指挥对乐队队员提出意见： 第二小号手吹得不准。 乐队中一个声音传来：他还没来呢！ 那好，待他来了再告诉他。
24,老爸说：“你们现在的答题卡怎么像彩票一样？？” 儿子答：“其实性质差不多。~”
25,宠物店里，老板对一个想买鹦鹉的顾客说：很抱歉，鹦鹉卖完了，你不如买只啄木鸟吧！ 怎么，它也会说话？ 不，它更实用，会打电报。
26,他在里面发现了一批自制饼干和他最喜欢的美国电视剧的录像带。
27,永远记得仔细校对，看看你有没有说出来。
28,数学文盲影响每5人中有8人。
29,你改变关于自己的一切都无法治愈，这没什么不对。
30,早上的人们：“早睡早起让人健康，富裕，聪明。”夜人：“任何一个人在起床的同一天上床睡觉都是一种戒烟。”
31,伯伯，我要买一本《儿童时代》。 买它要搭一本别的书。 搭配的是什么书呀？ 一本《老年天地》。
32,如果你在她之前得到晋升，那就是偏袒。
33,同学失恋，我去安慰她，说了一句：“节哀顺便 。” 女同学听后想了三秒擦完眼泪， 挤出点微笑说：“那么多人就你会安慰人。”
34,老师：乔尼，学生守则一共几条？ 乔尼：十条。 老师：如果你破坏了其中的一条…… 乔尼：那还有九条！
35,如果你今天“不是自己”，那么尽情享受吧
36,很少有女性承认自己的年龄。更少的人采取行动。
37,地理老师：哪位同学知道世界上什么地方总是烟雾缭绕？ 吉米：离我爸爸嘴边不远的地方。
38,我不敏感或幼稚，不足以在政治上正确。
39,-- 我叔叔下面有1000个人。 -- 他真是一个大人物。干什么的？ -- 墓地守墓人。
40,女儿：妈妈，我将来做什么工作好？ 母亲：三百六十行行行都可以考虑，就是别当话务员！ 女儿：为什么？ 母亲：那行当尽由别人说了算。
41,亲，这款红色毛衣多好看啊就算不小心被人捅了一刀也看不出来的。
42,病孩：妈妈，发药的阿姨为什么戴口罩？ 妈妈：给你的药很好吃，院长怕她们偷吃了。 病孩：给那些拿刀的叔叔戴口罩是怕他们聚餐吧？
43,老婆：你怎么一吃完饭就躺下了？ 老公：体检不是查出我有脂肪肝吗？ 老婆：怎么了？ 老公：医生对我说，你不要吃完饭老是坐着，这样最容易得脂肪肝！
44,爸爸：怎么搞的，大白天还开着灯？ 儿子：这是你早晨上班前忘记关了。 爸爸：你发现了，为什么不关上？ 儿子：你不是经常教育我要用事实说服人吗？
45,当你的朋友在你的新鳄鱼皮鞋上赞美你并且你赤脚时，你已经老了。
46,青春期是孩子们因为知道所有答案而停止提问的年龄。
47,我的鞋呢？下课的时候心不在焉的教授喃喃地问道。 在你的脚上呢。有一个学生说。 呵，可不是吗，幸亏你看见了，要不我会光着脚回家的。
48,医生给了我智商测试。我感到宽慰，结果是消极的。
49,一觉醒来，天都黑了。
50,有两种类型的人可以告诉你关于你自己的真相：一个发脾气的敌人和一个深爱你的朋友。
51,老板说：“真不凑巧，昨晚来的强盗把钱都拿走了。” 强盗：“你这窝囊废，为什么不关紧门？！”
52,幽默是灵魂的健康，是毒药的悲伤。
53,我们食堂的肉包很好吃，包子里有许多味道，大爷的烟头味，老奶奶的香皂味，大叔的汗水味，还有年轻妈妈的乳汁味，姐姐们的香水味。
54,你不是天生的幸福，你必须为自己做。
55,要说《阿凡达》中出场的人物里我最喜欢的还得说是巴依老爷。
56,我宣誓效忠于地球，一个星球，众多神灵，以及她旋转的宇宙。
57,早上醒来我都会抛硬币，假如正面朝上，我就继承睡觉。 假如背面朝上，我就躺在床上看电视。 假如硬币落地后是立起来的，我就起来收拾屋子。
58,亲爱的，妻子对丈夫说，我买了一块丝料，准备给你做条领带。 你真好！不过干嘛要买这么多呀？ 剩下的那部分我想给自己做条连衣裙！
59,我爸爸是个工作狂。每次有人提到工作，他都喝醉了。
60,“谁喜欢音乐？向前三步走！”老师说，六名女生争先走出队伍，老师满意地看了看。 然后说：“很好，现在请你们把这架钢琴搬到六楼上去。”
61,我妻子想减肥，所以她每天都去骑马。 结果怎么样？ 马在一个月之中瘦了四十斤。
62,男粽子啪地给了女粽子一耳光，骂道：我们都是红枣馅的，怎么我的儿子，是猪肉馅的！
63,一家人正在吃西瓜。 儿子问：“爸爸，是瓜都能吃吗？” 爸爸：“是的。” 儿子：“爸爸，我想吃傻瓜！”
64,老程序员永远不会死，他们只是失去了记忆！
65,‍　　那天我一边吃冰淇淋一边骑自‍行车骑着骑着，突然感觉冰淇淋融化了滴了一滴在手上，哥毫不犹豫的舔了一下。 尼玛是鸟屎。
66,人们很孤独，因为他们建造的是墙而不是桥梁。
67,现在真的好人难做啊， 刚我在酒店好心好意招呼旁边酒桌的客人： 哈哈哈大家都开心点尽情吃别客气哈！ 这顿我请客别跟我抢……＂ 结果不一会就被死者家属轰出了丧礼的酒席。
68,给我一个女人，我能创造一个兽族。
69,昨天，系花对我笑了一下，乐得我晚上直数羊，一只羊，两只羊，三只羊......
70,静如处女，动如处男。
71,瞄准星星。但首先，瞄准他们的保镖。
72,qq的在线率越高，证明这个人越寂寞。
73,为了在股票市场上赚一大笔钱，从一大笔钱开始。
74,芭芭拉 - 像兔子一样乱糟糟，对外表不挑剔。
75,一些世界上最伟大的壮举是由不够聪明的人知道他们是不可能完成的。
76,一天懒蛤蟆发财了，跑到一家酒店喊道：给我上炖天鹅肉、烧天鹅肉、烤天鹅肉、清蒸天鹅肉、铁板天鹅肉…另外再给我找只漂亮的小天鹅陪老子喝酒。
77,所有战斗都在两张或多张地图表的交界处进行，......以不同比例打印。
78,甲：哼！骗人！ 乙：怎么了？ 甲：软盘的容量明明只有1.2M或1.44M两种，哪有3M的？
79,我一天有事要很晚回来。gg说他在车站接我，结果我爸开车来接我了。 gg说：妈的，抢我生意！ 狂汗……
80,上帝会原谅我。毕竟，这是他的工作。
81,阿呆在路上遇到了客人。 阿呆：“我妈请……请……请你到我家吃便……便……便……便饭！”
82,爱教会我撒谎，生活教会我死亡。
83,1967年，犹太人如何在短短6天内击败埃及？
84,老公感慨的对老婆说：“这么多年了，我们这个家，没有人可以替代你！” 老婆怒问道：“老实交待，这么多年，你找了多少人准备替代我。”
85,高中的代数老师：说话不许出声音。
86,数学课上，教师对一位学生说：你怎么连减法都不会？例如，你家里有十个苹果，被你吃了四个，结果是多少呢？ 这个学生沮丧地说道：结果是挨了十下屁股！
87,男：“我今天很不顺利，看见漂亮女生微笑，会让我心情好一点，你可以为我笑一下吗？” 女：“你想让我今天也不顺利吗？”
88,我长这么高，老实说我很自卑，每次自卑时我就安慰自己，还好我胖，不显个儿。
89,信仰体系越荒谬，其成功的概率就越高。
90,让我们组织这件事，并从中获取乐趣。
91,为什么在真正的便便仍然免费时购买洗发水。
92,金钱和道德是情敌，所以一旦有了钱，就常常变坏。
93,人干点好事儿总想让鬼神知道，干点坏事儿总以为鬼神不知道，我们让鬼神太为难了。
94,买香烛，老板说要买这要买那，不然老人在下面过得不好。 后来直接问老板要了名片，说把你名片烧给老人有需要直接找你好了。
95,婚前，为了显示英勇，我经常带妻子去电影院看恐怖片； 婚后，为了保护自己，我经常独自去电影院看功夫片。
96,我有天赋的天赋。我是从爸爸那里得到的。
97,这就是我为了好玩而做的事。你能想象我的工作吗？
98,一个女人对女邻居说：你又要去听音乐会吗？要知道，今天演奏的仍是昨天的节目呀！ 不错，我知道，但是，今天我要穿的不是昨天那一件连衣裙。
99,病人从手术室逃出来找院长：“护士说不要害怕，镇定点，手术很简单。” 院长：“这话不对吗？” 病人：“可她是对医生讲的！”
100,某化学老师向一女求爱，曰：你是H，我是O，我们结合在一起就是H2O，这是最稳定的结合。 女答：另一个H在哪？
101,在一开始，宇宙就被创造出来了。这让很多人非常生气，被广泛认为是一个不好的举动。
102,上联：也许似乎大概是；下联：然而未必不见得。
103,保持美丽美丽 - 吞下你的啤酒罐。
104,当另一个“无关”部分被修改时，错误将出现在工作程序的一个部分中。
105,继续环顾四周; 总有一些你错过的东西。
106,一哥们在公交车上，头靠着旁边一美女的肩膀睡着了。 一会儿，美女小心翼翼地推醒了他，弱弱地说：“不好意思，你的粉刺扎到我了。”
107,请不要把我对你的容忍，当成你不要脸的资本。
108,我有一个十八岁的身体。我把它放在冰箱里。
109,这不是一种舞蹈，而是一种带有歌词的生育仪式。
110,谁也不知道穿山甲住在哪，直到一天才听它这样说。 穿山甲：穿越玩久了，别人还以为我家在隧道里呢。
111,玻璃不是半空的，它只是它需要的两倍大。
112,我从未见过电，所以我不付钱。我在账单上写道：“对不起，我整个月都没见过。”
113,如果你工作不够，那你就是一个无所畏惧的屁股。
114,一个人时，善待自己；两个人时，善待对方。
115,不要因为侮辱你而感谢我。这是我的荣幸...
116,太可惜了。所有在住宅区的零售猫。
117,一个同学身高一米八几，但是他父母身高都不到一米七，我们嘲笑他是不是基因突变了？ 他很生气地说：谁说我突变了，我二叔一米八呢！ 然后，大家都沉默了……
118,精神病科医生：从前你总以为自己是戴安娜，现在你已经摆脱这种幻觉康复了。 患者：非常感谢！请把治疗费清单寄给查尔斯王子吧。
119,我喜欢截止日期，尤其是他们飞过时的嘶嘶声。
120,我有一个非常好的记忆，除了它太短了。
121,花点时间闻一闻玫瑰，最后你会吸一只蜜蜂。
122,妈妈：那么......既然你已经开始约会了，与年轻人亲密接触是什么感觉？
123,如果去教堂让你成为一名基督徒，去车库会让你成为一辆车吗？
124,男人就像自行车头盔，他们在紧急情况下很好，但通常只是看起来很傻。
125,你比微积分的基本定理更让我着迷。
126,我试过放松，但不知何故，我感觉更好。
127,如果你把双脚牢牢地放在地上，你将无法穿上裤子。
128,在玩具车上的保险杠贴纸：我的另一辆车是消防车。
129,结论 - 你厌倦思考的地方。
130,女人真是善变，昨天刚发朋友圈说男人都不是好东西，今天就说我是个好人。
131,"从外面买了一份刀削面,用塑料袋拎回来。推门而入,哥顺手把它扔到床上去了。今晚没地方睡了。"
132,我们没有被包围。我们处于目标丰富的环境中。
133,女：照片上的那个女人是谁？ 男：是在没有同你认识之前的那个姑娘。 女：好啊！这么说，你那时就对我变心了！
134,昨天我看到一只鸡过马路。我问它为什么。它告诉我这不关我的事。
135,我问爷爷当年怎么和奶奶认识的。 爷爷低头沉思一会说：一个瞎子介绍的……
136,我们必须相信运气。我们怎样才能解释那些我们不喜欢的人的成功？
137,杨振宁娶了翁帆后，他的好友说：真是委屈了人家姑娘，你都可以做她爷爷了。杨很不满：我更委屈，她爷爷比我小两岁，可我还得装孙子！
138,朋友签名：“我不说，你不懂。这就是我们之间的距离。”多诗意的一句话啊！ 底下有人评论：“这正在上演一个哑巴和一个白痴的爱情故事。”
139,老公：如果我是一匹布，或者是一匹绢，我估计老婆会在我身上绣上‘长期饭票’四个光芒万丈的大字。
140,为什么在课堂聚会上你比其他人看起来更年轻？
141,有一天宿舍老三不愿到食堂排队打饭，等到老二回来就问食堂的队伍长吗？ 不长，但很粗。
142,本人实习护士。今天上班期间。 值班医生坐电梯上来，老师说了一句：“哎呀，小欧， 你怎么好意思自己坐电梯上来，多浪费电啊。”
143,莉莉：老板，我有两个双胞胎。我不想说出任何一个名字。
144,我注意到一名警察坐在桥顶上的雷达枪。
145,语文课上，老师叫同学们用断线的风筝作比喻，小明这样写道：妈妈出差去了，爸爸像只断线的风筝，随处飘荡。
146,朋友说：“你不了解，我其实是因为另一个女人而离婚的。” “那个女人长得很漂亮吧。” “不，又老又丑。是我丈母娘。”
147,“波洛涅斯由于作弊被开除了。” “怎么回事啊？” “在生理卫生考试中，他数自己的肋骨，结果被发现了。”
148,是对还是错：很多人穿着街头衣服比穿着睡衣睡得更好。
149,任何能够看透女人的人都会失踪很多。
150,一位美国人，一位英国人和一位法国人正在讨论一个很好的例子。
151,女同学：“你怎么又被老师留了？有错就改啊！” 男同学：“足球比赛错判，那教练怎么就不改呢？” 女同学：“这个……”
152,亲爱的！丈夫在梦中嘟噜着，把电视机关掉吧，把被褥铺好，再递给我一杯热茶。 不行啊，我的胖小子！躺在丈夫身旁的妻子回答：我们是在电影院里。
153,所有男人都会犯错误，但已婚男人会更早地发现错误。
154,有些人爬上了成功的阶梯。我的老板走在它下面。
155,我一次断了一条腿......全都洒了咖啡。
156,盲人妻子和聋哑丈夫之间的婚姻很好。
157,一个女人生活中的主要兴奋点是发现比她更胖的女人。
158,如果你不能成为一个好榜样，那么你只需要作为一个可怕的警告。
159,最明目张胆的恭维，就是把“悍妇撒泼”说成是“贵妃醉酒”。
160,他非常自负地走在情人巷里，握着自己的手。
161,夫妻吵架了。当丈夫下班回到家里，他发现妻子不在家。 只在桌上留了一个条子，上面写道： “午饭在《烹调大全》第215页；晚饭在317页。”
162,即使没有危机，英国也有保持冷静的声誉。
163,我是银行出纳员。那是一个很棒的工作。我每周带回家45万美元。
164,啤酒不会让你发胖。它让你倾斜（对着门，桌子，墙壁）。
165,如果上帝希望我们为我们的裸体感到羞耻，他会给我们更大的手。
166,老虎不发猫，你当我是病危呀！
167,女对男说：“带我走吧。” 男答：“大象怎么办？”（大象是徐静蕾的儿子）。 结果您猜怎么着？邻座一个观众很严肃的说：装冰箱呀！
168,你现在过得好吗？如果你过得不好我也就安心了。
169,一旦你认识到我是对的，我真的很容易相处。
170,无论你认为你能做到，还是做不到，你通常是对的。
171,丈夫：唉，娶一个妻子要花几万元，真难啊！ 妻子：亲爱的，给你生个宝贝儿子不就行了。 丈夫：怎么，生儿子？生个乖女儿吧，也许还能捞回娶你的那笔钱。
172,男......只要我们最终躺在床上，就把它称之为你想要的任何东西。
173,遗憾的是她不会永远活着，但是又一次，谁做到了。
174,成不了楷模 当个凯子也是可以的。
175,一位小孩问他的爸爸：爸爸，有一种动物长的跟大象一模一样，但不是大象，你说那是什么？ 爸爸想了想，说：不知道。 孩子诡笑着说：是小象呀！
176,如果被切得很细，任何东西都可以食用。
177,甲：“我老婆真他妈不像话！扔下一大堆衣服让我妈洗！” 乙：“那你干什么去了？” 甲：“我实在不忍看我妈受累！到你这散散心！”
178,我认识这个在海洋世界工作的人; 但我不认为这是在海豚身上......
179,建立信任需要数年时间，而摧毁信任只需几秒钟。
180,当酒精不再起作用时，你已经准备好清醒了
181,父亲在游戏厅门前看到儿子，生气地说：“你一点儿也不知道学习，光会打游戏，我十回有九回都在这儿看见你!” 儿子说：“我还比您少一次哪!”
182,罪犯甲：你男扮女装，为什么警察还是发现了你？ 民罪犯乙：我习惯性地进了男厕所。
183,趁着年轻把能干的坏事都干了吧，没几年了。
184,你在墙上看什么？笑话掌握在你手中。
185,猫在绑它们时必须攻击人类的鞋带。
186,天塌下来你顶着，我垫着!
187,关于人类的一个奇怪的事情是我们工作直到我们生病才能获得一笔财富，然后付出一大笔钱再次康复。
188,你这么成熟懂事，想必一定没人疼你。
189,圣诞节：游戏玩太久，都忘记时间了，肚子有点饿，打开冰箱一看，只剩下蛋了！
190,上帝给了我们时间，以便一切都不会同时发生。
191,时间对了，地点对了，感情对了，却发现人物不对!
192,我知道空手道！......还有其他几个日语单词。
193,同义词：当你不能拼写第一个时使用的单词。
194,办公室：在您艰苦的家庭生活之后，您可以放松身心的地方。
195,我不是雇佣兵......杀戮对我来说更像是一种爱好。
196,一对苍蝇母子正在吃饭，儿子皱着眉头问母亲：“妈妈，我们为什么要每天站在大便上，大便好脏啊!” 妈妈说：“不要在吃饭的时候说那么不卫生的事。”
197,生孩子就像在你的大脑中安装保龄球道一样。
198,宿舍某人喝别人的开水，烫得跳起来了，嘴里还叫：他娘的，这么烫，猪都受不了啊。
199,当用锤头锤击中头部时，猫几乎总是眨眼。
200,爱是一个女人与另一个女人不同的错觉。
201,姑：嫂子，你看我找对象是找没有婆婆的好呢，还是找没有嫂子的好？ 嫂：最好是找没有小姑子的！
202,你怎么知道什么时候调整你的风笛？
203,然后问爸爸：“社会上提倡的多劳多得的劳，是哪个劳呀？” 爸爸沉思了一会说：“根据我的生活体会，是带提手旁的那个捞。”
204,什么山？哪里？什么时候？我不记得任何一座山。
205,波音：飞机撞击地面时发出的声音。
206,一个小学5年级的女孩因为胸部发育被同班女生嘲笑，回家向母亲哭诉。 她妈安慰她：“不要紧，她们顶多笑你两年，你以后至少可以嘲笑她们二十年！”
207,将圣水与蓖麻油混合后你会得到什么？
208,‍　　一天，老师对同学们说：“如果你是皇帝，我是丞相，你会对我说些什么？” 就在这时，小明站起来怒吼‍道：“拖出去砍了！”
209,许多人只是因为看到你保留你的脾气而发脾气。
210,我不是说她很胖，但当我把她的裤子拉到她的膝盖时，她的屁股还在他们身上
211,立秋后的天气如此凉爽，为何我的脑子里只想着：便宜了军训的这帮兔崽子了。
212,老婆对老公抱怨说：“衣服都涨价了。” 老公说：“少穿点呗。” 老婆：“现在生活成本这么高，你怎么不少活点！”
213,食堂的东西很难吃，不过吃过我老婆做的东西之后，我决定继续吃食堂!
214,婚礼结束后，新娘对新郎娇滴滴地说： 我现在想试一下我的新名字应该怎么写。你这里有支票和笔吗，亲爱的？
215,今天的美好时刻是明天的美好回忆。
216,信息呈现为破裂的消防水带 - 向各个方向喷洒 - 无法阻止它。
217,孩子长了个长脸，委屈地说：“都怪妈妈，让我长（zhang)脸长脸，一定要长脸，结果我就长了个大长(chang)脸。”
218,我是天使，回不去天堂是因为体重的原因。
219,你妈和你女朋友掉油锅里了，你先吃谁？
220,这是你和我对抗世界......我们何时进攻？
221,丈夫：你知道，老婆，我们的儿子从我这里得到了他的大脑。
222,我诅咒你一辈子买方便面没有调料！
223,女：“只要有钱，我嫁给谁都行。” 男：“银行的保险柜你嫁吗？”
224,如果你有一群小丑，你将会有一个马戏团。
225,高中时的语文模拟考，发卷之前听说本次考试最高分是139分（满分150），当时大吼一句，MD，是不是人啊，考这么高，卷子发下来，发现是自己的~！
226,装比卖老，一刀放倒。
227,老程序员永远不会死; 他们只是放弃了他们的资源。
228,练习随意的仁慈行为，毫无意义的美丽行为。
229,忘记一切，因为有一天一切都会忘记你。
230,老鼠的不满：马场、牛圈、猪圈、狗窝、蜂窝、蚂蚁窝、鸟巢听着多好听，为什么把我们的家叫“老鼠洞”？
231,只有在阳光普照的时候，一个虚假的朋友和一个影子才会留在身边。
232,每个员工都带着大脑，绝对不需要额外费用。
233,鹅鹅鹅，曲项向天歌。白毛浮污水，红掌拨黑波。
234,爸爸新买了条裤子给晶晶，谁知刚下一水就缩得穿不下了。 妈妈生气地骂着爸爸。 晶晶却说：妈妈，你给我洗个澡也缩小点不就行了吗！
235,我经常和自己说话。然而，它让人烦恼，因为我使用扩音器。
236,经常会从梦中惊醒，因为做了一个饿梦，好饿好饿的梦。
237,农夫：我晚上上床后常感觉发冷。 医生：我也有过，那时我会搂着我太太，就会暖和了。 农夫：这办法不错，但您太太什么时候方便呢？
238,如果你喜欢汉森，请按喇叭三次然后碰到一棵树。
239,你的手机比话费还便宜。
240,中午吃饭，忽然一领导冒一句：“女人生完孩子就没意义了。” 接着旁边新入职女同事悠悠的来一句：“那你妈还活着吗？”…
241,老板：你最近怎么老是请病假？ 员工：脖子疼。 老板：原因？ 员工：您秘书的裙子太低。
242,因不堪忍受网络暴力，小明停止了对他人的谩骂。
243,律师使用什么来控制生育？他们的个性。
244,制造汽车需要一百万个坚果 - 只有一个能够破坏它！
245,我有时感到孤独和微不足道，特别是当我还在洗手间的时候人们关灯。
246,上物理课时，老师问：什么物体最重？ 小刚站起来答：我家外公最重！ 老师奇怪地问：为什么？ 小刚：我爸爸写信时总称你‘泰山’。
247,孔雀拼命开屏，却露出屁眼！
248,正在进行中 - 它可能很慢，但它很稳定。请耐心等待。谢谢。
249,人们问你在南北战争中你在哪一方？
250,航班风险：用于描述涉嫌计划很快离开公司或部门的员工。
251,任何不受理性影响的人都没有什么是不可能的。
252,两情侣吵架，男的解释：“我只是打了一个比方……” 女孩挖苦：“哎哟，你放过那些比方吧，别打他们了！”
253,不要无可替代; 如果你不能被替换，你就无法晋升。
254,红杏不出墙，坚决拽出来。
255,水能载舟，亦能煮粥！子在川上曰：“有船多好！”
256,什么是麻风病人的最终厄运？癫痫发作。
257,成功就是能够在不失去热情的情况下从失败走向失败。
258,“你家还有几口人？” “还有三口，我爹，我妈，我哥哥。我哥哥比我大。”
259,亲爱的，我是你的第一个女人吗？ 你们女人可真烦，怎么都爱问同样的问题呢？
260,男人就像迷你裙，如果你不小心他们会爬上你的腿。
261,太阳对夏令时感到困惑。它上升了两次。一切都有两个阴影。
262,我每小时跑70英里，被一名警察拦住，警察说：“你知道速度限制是每小时55英里吗？” “是的，军官，但我不会那么久......”
263,客户：“这个图下班之前必须发给我！” 设计师：“好的！” 第二天清早，客户：“图怎么还没发过来？” 设计师：“我还没下班呢！”
264,气候是你所期望的：天气就是你得到的。
